,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
10,KJ O'Brien (IRE),2020-2021,11,11,1,129,31,12.90,154,83.76,0,0,1,14,2,
11,CR Woakes (ENG),2020-2021,7,4,1,129,53*,43.00,131,98.47,0,1,0,13,0,
12,DJM Short (AUS),2020-2020,4,4,0,128,69,32.00,170,75.29,0,1,0,9,0,
13,MK Pandey (INDIA),2020-2021,6,6,1,126,42,25.20,146,86.3,0,0,0,8,1,
14,TK Curran (ENG),2020-2021,11,6,2,125,38*,31.25,155,80.64,0,0,0,11,1,
15,PVD Chameera (SL),2021-2022,16,14,3,124,29,11.27,184,67.39,0,0,1,8,3,
16,SM Curran (ENG),2020-2021,9,5,2,124,95*,41.33,135,91.85,0,1,0,11,3,
17,SW Ambris (WI),2019-2021,8,8,0,121,60,15.12,148,81.75,0,1,0,13,2,
18,Mohammad Nabi (AFG),2019-2021,6,5,1,118,50*,29.50,179,65.92,0,1,0,11,2,
19,Abid Ali (PAK),2019-2020,3,3,0,117,74,39.00,121,96.69,0,1,0,19,0,
20,L Gregory (ENG),2021-2021,3,2,0,117,77,58.50,116,100.86,0,1,0,10,3,
21,R Powell (WI),2021-2021,3,3,0,116,47,38.66,146,79.45,0,0,0,6,5,
22,CD Wallace (SCOT),2019-2019,4,4,1,116,53*,38.66,143,81.11,0,1,0,7,2,
23,Rohan Mustafa (UAE),2019-2022,10,7,1,114,59*,19.00,155,73.54,0,1,2,9,1,
24,BFW de Leede (NED),2021-2022,8,7,0,113,34,16.14,298,37.91,0,0,1,7,0,
25,S Bau (PNG),2019-2021,11,11,0,112,31,10.18,234,47.86,0,0,1,6,2,
26,GSNFG Jayasuriya (SL),2019-2019,3,3,0,112,96,37.33,122,91.8,0,1,0,8,2,
27,J Kila (PNG),2019-2021,10,10,2,112,36,14.00,194,57.73,0,0,2,9,1,
28,DJ Mitchell (NZ),2021-2021,3,2,2,112,100*,-,98,114.28,1,0,0,11,2,
29,MM Ali (ENG),2020-2021,11,7,1,111,30,18.50,156,71.15,0,0,1,8,3,
30,RR Hendricks (SA),2020-2021,6,6,1,110,51,22.00,145,75.86,0,1,0,12,0,
31,BA King (WI),2019-2022,5,5,0,110,39,22.00,170,64.7,0,0,1,13,2,
32,PHKD Mendis (SL),2021-2022,5,5,0,110,57,22.00,176,62.5,0,1,0,7,1,
33,MR Adair (IRE),2020-2022,15,11,5,109,29,18.16,123,88.61,0,0,0,4,7,
34,AS Joseph (WI),2019-2022,25,15,4,109,17,9.90,195,55.89,0,0,3,12,4,
35,RP Burl (ZIM),2021-2022,6,6,0,108,59,18.00,135,80.0,0,1,0,9,4,
36,NA Saini (INDIA),2019-2021,8,5,3,107,45,53.50,137,78.1,0,0,0,9,3,
37,Iftikhar Ahmed (PAK),2019-2020,5,5,3,106,32*,53.00,101,104.95,0,0,0,8,4,
38,D Ravu (PNG),2019-2021,10,10,4,105,38*,17.50,147,71.42,0,0,3,7,4,
39,FA Allen (WI),2019-2022,8,5,1,104,37,26.00,86,120.93,0,0,0,8,5,
40,PD Salt (ENG),2021-2021,3,3,0,104,60,34.66,89,116.85,0,1,0,18,0,
41,K Birkenstock (NAM),2019-2021,9,9,0,101,32,11.22,173,58.38,0,0,2,10,0,
42,Mohammad Saifuddin (BAN),2020-2021,9,7,6,100,28*,100.00,100,100.0,0,0,0,5,3,
43,KMA Paul (WI),2019-2020,8,4,2,99,46,49.50,86,115.11,0,0,0,11,4,
44,HR Walsh (WI),2019-2021,12,6,2,99,46*,24.75,117,84.61,0,0,0,12,1,
45,Karan KC (NEPAL),2020-2021,9,7,1,98,42,16.33,132,74.24,0,0,1,8,5,
46,Mehidy Hasan Miraz (BAN),2019-2021,17,11,0,98,43,8.90,128,76.56,0,0,3,9,2,
47,DJ Willey (ENG),2020-2021,6,2,1,98,51,98.00,88,111.36,0,1,0,8,5,
48,Z Crawley (ENG),2021-2021,3,3,1,97,58*,48.50,85,114.11,0,1,1,14,0,
49,Shadab Khan (PAK),2019-2021,7,5,0,97,33,19.40,117,82.9,0,0,1,6,2,
