,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Unnamed: 11
31,MA Starc (AUS),2010-2021,94,94,33,33,0,0,33,3 (3ct 0st),0.351,
32,Abdur Razzak (BAN),2004-2014,152,152,32,32,0,0,32,2 (2ct 0st),0.21,
33,N Boje (Afr/SA),1995-2005,112,112,32,32,0,0,32,2 (2ct 0st),0.285,
34,Ghulam Shabber (UAE),2017-2019,23,23,32,30,2,30,0,4 (4ct 0st),1.391,
35,CS MacLeod (SCOT),2009-2021,68,68,32,32,0,0,32,4 (4ct 0st),0.47,
36,Nasir Hossain (BAN),2011-2018,63,63,32,32,0,0,32,2 (2ct 0st),0.507,
37,J Srinath (INDIA),1991-2003,222,222,32,32,0,0,32,2 (2ct 0st),0.144,
38,DL Houghton (ZIM),1983-1997,62,62,31,29,2,10,19,4 (4ct 0st),0.5,
39,RS Kalpage (SL),1992-1999,79,79,31,31,0,0,31,3 (3ct 0st),0.392,
40,H Klaasen (SA),2018-2021,24,24,31,26,5,18,8,4 (3ct 1st),1.291,
41,AJ Lamb (ENG),1982-1992,120,120,31,31,0,0,31,2 (2ct 0st),0.258,
42,SL Malinga (SL),2004-2019,212,212,31,31,0,0,31,2 (2ct 0st),0.146,
43,GR Marsh (AUS),1986-1992,115,115,31,31,0,0,31,2 (2ct 0st),0.269,
44,M Morkel (Afr/SA),2007-2018,113,113,31,31,0,0,31,3 (3ct 0st),0.274,
45,CJO Smith (SCOT),2006-2009,24,24,31,20,11,20,0,5 (5ct 0st),1.291,
46,DR Smith (WI),2004-2015,98,98,31,31,0,0,31,2 (2ct 0st),0.316,
47,RW Taylor (ENG),1973-1984,25,25,31,25,6,25,0,4 (4ct 0st),1.24,
48,R Ashwin (INDIA),2010-2022,109,109,30,30,0,0,30,3 (3ct 0st),0.275,
49,RD Berrington (SCOT),2008-2021,79,79,30,30,0,0,30,2 (2ct 0st),0.379,
0,J Garner (WI),1977-1987,97,97,30,30,0,0,30,3 (3ct 0st),0.309,
1,MA Holding (WI),1976-1987,101,101,30,30,0,0,30,3 (3ct 0st),0.297,
2,WK Lees (NZ),1979-1983,31,31,30,28,2,28,0,4 (4ct 0st),0.967,
3,MR Marsh (AUS),2011-2021,60,60,30,30,0,0,30,4 (4ct 0st),0.5,
4,Mushtaq Ahmed (PAK),1989-2003,143,143,30,30,0,0,30,2 (2ct 0st),0.209,
5,M Ntini (ICC/SA),1998-2009,167,167,30,30,0,0,30,2 (2ct 0st),0.179,
6,MJ Santner (NZ),2015-2021,73,73,30,30,0,0,30,2 (2ct 0st),0.41,
7,PA Strang (ZIM),1994-2001,94,94,30,30,0,0,30,2 (2ct 0st),0.319,
8,Aftab Ahmed (BAN),2004-2010,85,85,29,29,0,0,29,3 (3ct 0st),0.341,
9,TM Alderman (AUS),1981-1991,64,64,29,29,0,0,29,3 (3ct 0st),0.453,
10,PR Downton (ENG),1977-1988,28,28,29,26,3,26,0,4 (4ct 0st),1.035,
11,LK Germon (NZ),1995-1997,36,36,29,20,9,20,0,4 (4ct 0st),0.805,
12,AJ Hall (SA),1999-2007,84,84,29,29,0,0,29,2 (2ct 0st),0.345,
13,WW Hinds (WI),1999-2010,113,113,29,29,0,0,29,2 (2ct 0st),0.256,
14,DJ Hussey (AUS),2008-2013,65,65,29,29,0,0,29,2 (2ct 0st),0.446,
15,CK Kapugedera (SL),2006-2017,95,95,29,29,0,0,29,2 (2ct 0st),0.305,
16,SS Karim (INDIA),1997-2000,32,32,29,26,3,26,0,4 (3ct 1st),0.906,
17,B Kumar (INDIA),2012-2022,119,119,29,29,0,0,29,2 (2ct 0st),0.243,
18,CS Pandit (INDIA),1986-1992,35,35,29,15,14,15,0,4 (2ct 2st),0.828,
19,GP Swann (ENG),2000-2013,77,77,29,29,0,0,29,3 (3ct 0st),0.376,
20,DC Thomas (WI),2009-2013,21,21,29,23,6,23,0,3 (3ct 0st),1.38,
21,Wahab Riaz (PAK),2008-2020,89,89,29,29,0,0,29,2 (2ct 0st),0.325,
22,Ahmed Shehzad (PAK),2009-2017,80,80,28,28,0,0,28,2 (2ct 0st),0.35,
23,RG de Alwis (SL),1983-1988,30,30,28,25,3,25,0,5 (5ct 0st),0.933,
24,AA Donald (SA),1991-2003,160,160,28,28,0,0,28,2 (2ct 0st),0.175,
25,GC Dyer (AUS),1986-1988,22,22,28,24,4,24,0,4 (4ct 0st),1.272,
26,Mohammad Rafique (Asia/BAN),1995-2007,123,123,28,28,0,0,28,2 (2ct 0st),0.227,
27,Mohammed Shami (INDIA),2013-2020,75,75,28,28,0,0,28,2 (2ct 0st),0.373,
28,R Mutumbami (ZIM),2014-2020,35,35,28,23,5,21,2,4 (4ct 0st),0.8,
29,TM Odoyo (Afr/KENYA),1996-2014,130,130,28,28,0,0,28,2 (2ct 0st),0.215,
30,LMP Simmons (WI),2006-2015,67,67,28,28,0,2,26,2 (2ct 0st),0.417,
31,DW Steyn (Afr/SA),2005-2019,123,123,28,28,0,0,28,2 (2ct 0st),0.227,
32,Alok Kapali (BAN),2002-2011,67,67,27,27,0,0,27,2 (2ct 0st),0.402,
33,KLT Arthurton (WI),1988-1999,102,102,27,27,0,0,27,2 (2ct 0st),0.264,
34,F Behardien (SA),2013-2018,58,58,27,27,0,0,27,2 (2ct 0st),0.465,
35,SCJ Broad (ENG),2006-2016,116,116,27,27,0,0,27,2 (2ct 0st),0.232,
36,JJ Crowe (NZ),1983-1990,73,73,27,27,0,0,27,2 (2ct 0st),0.369,
37,DM de Silva (SL),2016-2021,53,53,27,27,0,0,27,3 (3ct 0st),0.509,
38,CRD Fernando (Asia/SL),2001-2012,143,143,27,27,0,0,27,3 (3ct 0st),0.188,
39,EC Joyce (ENG/IRE),2006-2018,75,75,27,27,0,0,27,2 (2ct 0st),0.36,
40,CJ McDermott (AUS),1985-1996,136,136,27,27,0,0,27,1 (1ct 0st),0.198,
41,RJ Peterson (SA),2002-2014,77,77,27,27,0,0,27,2 (2ct 0st),0.35,
42,M Prabhakar (INDIA),1984-1996,127,127,27,27,0,0,27,3 (3ct 0st),0.212,
43,CA Walsh (WI),1985-2000,200,200,27,27,0,0,27,1 (1ct 0st),0.135,
44,BA Young (NZ),1990-1999,69,69,27,27,0,6,21,3 (3ct 0st),0.391,
45,A Balbirnie (IRE),2010-2022,79,79,26,26,0,0,26,4 (4ct 0st),0.329,
46,PW Borren (NED),2006-2014,55,55,26,26,0,0,26,3 (3ct 0st),0.472,
47,NW Bracken (AUS),2001-2009,113,113,26,26,0,0,26,2 (2ct 0st),0.23,
48,PAJ DeFreitas (ENG),1987-1997,102,102,26,26,0,0,26,2 (2ct 0st),0.254,
49,JEC Franklin (NZ),2001-2013,104,104,26,26,0,0,26,2 (2ct 0st),0.25,
0,Habibul Bashar (BAN),1995-2007,110,110,26,26,0,0,26,2 (2ct 0st),0.236,
1,AD Hales (ENG),2014-2019,66,66,26,26,0,0,26,2 (2ct 0st),0.393,
2,GJ Hopkins (NZ),2004-2010,21,21,26,25,1,25,0,5 (5ct 0st),1.238,
3,KJ Hughes (AUS),1977-1985,91,91,26,26,0,0,26,2 (2ct 0st),0.285,
4,Imran Nazir (PAK),1999-2009,78,78,26,26,0,0,26,3 (3ct 0st),0.333,
5,DS Lehmann (AUS),1996-2005,115,115,26,26,0,0,26,3 (3ct 0st),0.226,
6,MF Maharoof (SL),2004-2016,104,104,26,26,0,0,26,2 (2ct 0st),0.25,
7,LE Plunkett (ENG),2005-2019,85,85,26,26,0,0,26,2 (2ct 0st),0.305,
8,K Rabada (SA),2015-2021,79,79,26,26,0,0,26,2 (2ct 0st),0.329,
9,GP Wickramasinghe (SL),1990-2002,126,126,26,26,0,0,26,2 (2ct 0st),0.206,
10,B Zuiderent (NED),1996-2011,55,55,26,26,0,0,26,2 (2ct 0st),0.472,
11,W Barresi (NED),2010-2019,31,31,25,17,8,13,4,3 (3ct 0st),0.806,
12,D Gough (ENG/ICC),1994-2006,152,152,25,25,0,0,25,1 (1ct 0st),0.164,
13,JR Hopes (AUS),2005-2010,78,78,25,25,0,0,25,2 (2ct 0st),0.32,
14,Imran Tahir (SA),2011-2019,104,104,25,25,0,0,25,2 (2ct 0st),0.24,
15,DT Johnston (IRE),2006-2013,64,64,25,25,0,0,25,2 (2ct 0st),0.39,
16,AR McBrine (IRE),2014-2022,61,61,25,25,0,0,25,3 (3ct 0st),0.409,
17,AG Prince (Afr/SA),2002-2007,48,48,25,25,0,0,25,4 (4ct 0st),0.52,
18,KL Rahul (INDIA),2016-2022,41,41,25,23,2,13,10,3 (3ct 0st),0.609,
19,DW Randall (ENG),1976-1985,48,48,25,25,0,0,25,2 (2ct 0st),0.52,
20,Rashid Khan (AFG),2015-2022,74,74,25,25,0,0,25,3 (3ct 0st),0.337,
21,PR Reiffel (AUS),1992-1999,92,92,25,25,0,0,25,2 (2ct 0st),0.271,
22,Saeed Ajmal (PAK),2008-2015,112,112,25,25,0,0,25,1 (1ct 0st),0.223,
23,RA Smith (ENG),1988-1996,68,68,25,25,0,0,25,2 (2ct 0st),0.367,
24,MP Vaughan (ENG),2001-2007,81,81,25,25,0,0,25,3 (3ct 0st),0.308,
25,CB Wishart (ZIM),1996-2005,88,88,25,25,0,0,25,2 (2ct 0st),0.284,
26,Aaqib Javed (PAK),1988-1998,158,158,24,24,0,0,24,1 (1ct 0st),0.151,
27,Asghar Afghan (AFG),2009-2021,111,111,24,24,0,0,24,2 (2ct 0st),0.216,
28,V Dahiya (INDIA),2000-2001,19,19,24,19,5,19,0,3 (3ct 0st),1.263,
29,SS Dighe (INDIA),2000-2001,23,23,24,19,5,19,0,4 (4ct 0st),1.043,
30,NM Hauritz (AUS),2002-2011,56,56,24,24,0,0,24,2 (2ct 0st),0.428,
31,DJ Nash (NZ),1992-2002,74,74,24,24,0,0,24,3 (3ct 0st),0.324,
32,JDS Neesham (NZ),2013-2021,64,64,24,24,0,0,24,2 (2ct 0st),0.375,
33,HH Pandya (INDIA),2016-2021,62,62,24,24,0,0,24,2 (2ct 0st),0.387,
34,Wasim Raja (PAK),1973-1985,52,52,24,24,0,0,24,2 (2ct 0st),0.461,
35,M Amarnath (INDIA),1975-1989,83,83,23,23,0,0,23,2 (2ct 0st),0.277,
36,GS Chappell (AUS),1971-1983,71,71,23,23,0,0,23,2 (2ct 0st),0.323,
37,DD Ebrahim (ZIM),2001-2005,79,79,23,23,0,0,23,2 (2ct 0st),0.291,
38,Fakhar Zaman (PAK),2017-2021,51,51,23,23,0,0,23,2 (2ct 0st),0.45,
39,Sir RJ Hadlee (NZ),1973-1990,108,108,23,23,0,0,23,2 (2ct 0st),0.212,
40,AH Jones (NZ),1987-1995,86,86,23,23,0,0,23,2 (2ct 0st),0.267,
41,Junaid Siddique (BAN),2007-2011,54,54,23,23,0,1,22,3 (3ct 0st),0.425,
42,S Lee (AUS),1995-2001,44,44,23,23,0,0,23,2 (2ct 0st),0.522,
43,GRJ Matthews (AUS),1984-1993,57,57,23,23,0,0,23,3 (3ct 0st),0.403,
44,PJ Moor (ZIM),2014-2019,48,48,23,22,1,16,6,4 (4ct 0st),0.479,
45,PA Nixon (ENG),2007-2007,19,19,23,20,3,20,0,2 (2ct 0st),1.21,
46,DN Patel (NZ),1987-1997,75,75,23,23,0,0,23,2 (2ct 0st),0.306,
47,PL Symcox (SA),1993-1999,78,78,23,23,0,0,23,2 (2ct 0st),0.294,
48,S Viswanath (INDIA),1985-1988,21,21,23,16,7,16,0,5 (3ct 2st),1.095,
49,TJ Zoehrer (AUS),1986-1994,22,22,23,21,2,21,0,4 (4ct 0st),1.045,
0,Zulqarnain (PAK),1985-1989,14,14,23,18,5,18,0,4 (4ct 0st),1.642,
1,Afsar Zazai (AFG),2014-2017,16,16,22,20,2,20,0,3 (3ct 0st),1.375,
2,SL Campbell (WI),1994-2001,87,87,22,22,0,0,22,3 (3ct 0st),0.252,
3,J Charles (WI),2012-2016,48,48,22,21,1,10,11,2 (2ct 0st),0.458,
4,MW Gatting (ENG),1977-1993,92,92,22,22,0,0,22,2 (2ct 0st),0.239,
5,SM Gavaskar (INDIA),1974-1987,105,105,22,22,0,0,22,4 (4ct 0st),0.209,
6,AF Giles (ENG),1997-2005,59,59,22,22,0,0,22,3 (3ct 0st),0.372,
7,GR Larsen (NZ),1990-1999,117,117,22,22,0,0,22,1 (1ct 0st),0.188,
8,SV Manjrekar (INDIA),1988-1996,72,72,22,22,0,0,22,2 (2ct 0st),0.305,
9,SE Marsh (AUS),2008-2019,72,72,22,22,0,0,22,2 (2ct 0st),0.305,
10,PL Mommsen (SCOT),2010-2017,41,41,22,22,0,0,22,2 (2ct 0st),0.536,
11,C Munro (NZ),2013-2019,55,55,22,22,0,0,22,2 (2ct 0st),0.4,
12,SP O'Donnell (AUS),1985-1991,87,87,22,22,0,0,22,2 (2ct 0st),0.252,
13,SW Poynter (IRE),2014-2019,20,20,22,22,0,19,3,4 (4ct 0st),1.1,
14,RR Rossouw (SA),2014-2016,35,35,22,22,0,0,22,4 (4ct 0st),0.628,
15,MN Waller (ZIM),2009-2018,79,79,22,22,0,0,22,1 (1ct 0st),0.278,
16,DJ Willey (ENG),2015-2021,48,48,22,22,0,0,22,2 (2ct 0st),0.458,
17,RGD Willis (ENG),1973-1984,64,64,22,22,0,0,22,2 (2ct 0st),0.343,
18,Abdul Qadir (PAK),1983-1993,102,102,21,21,0,0,21,2 (2ct 0st),0.205,
19,DL Bairstow (ENG),1979-1984,21,21,21,17,4,17,0,3 (3ct 0st),1.0,
20,JP Faulkner (AUS),2013-2017,64,64,21,21,0,0,21,1 (1ct 0st),0.328,
21,Imrul Kayes (BAN),2008-2018,77,77,21,21,0,0,21,2 (2ct 0st),0.272,
22,Manzoor Elahi (PAK),1984-1995,53,53,21,21,0,0,21,2 (2ct 0st),0.396,
23,TM Moody (AUS),1987-1999,75,75,21,21,0,0,21,2 (2ct 0st),0.28,
24,Mudassar Nazar (PAK),1977-1989,117,117,21,21,0,0,21,2 (2ct 0st),0.179,
25,IK Pathan (INDIA),2004-2012,114,114,21,21,0,0,21,1 (1ct 0st),0.184,
26,MSK Prasad (INDIA),1998-1999,17,17,21,14,7,14,0,5 (4ct 1st),1.235,
27,KAJ Roach (WI),2008-2019,89,89,21,21,0,0,21,2 (2ct 0st),0.235,
28,Samiullah Shinwari (AFG),2009-2019,84,84,21,21,0,0,21,2 (2ct 0st),0.25,
29,RV Uthappa (INDIA),2006-2015,42,42,21,19,2,4,15,3 (3ct 0st),0.5,
30,AR White (IRE),2006-2014,60,60,21,21,0,0,21,2 (2ct 0st),0.35,
31,UT Yadav (INDIA),2010-2018,72,72,21,21,0,0,21,3 (3ct 0st),0.291,
32,Ashraf Ali (PAK),1980-1985,15,15,20,17,3,17,0,3 (3ct 0st),1.333,
33,GB Brent (ZIM),1996-2008,68,68,20,20,0,0,20,2 (2ct 0st),0.294,
34,TT Bresnan (ENG),2006-2014,81,81,20,20,0,0,20,2 (2ct 0st),0.246,
35,CK Coventry (ZIM),2003-2015,38,38,20,19,1,0,19,1 (1ct 0st),0.526,
36,DN Crookes (SA),1994-2000,32,32,20,20,0,0,20,2 (2ct 0st),0.625,
37,JS Foster (ENG),2001-2002,11,11,20,13,7,13,0,3 (2ct 1st),1.818,
38,JK Kamande (KENYA),1999-2011,82,82,20,20,0,0,20,2 (2ct 0st),0.243,
39,RAS Lakmal (SL),2009-2021,82,82,20,20,0,0,20,1 (1ct 0st),0.243,
40,ND McKenzie (SA),2000-2009,63,63,20,20,0,0,20,3 (3ct 0st),0.317,
41,Mehidy Hasan Miraz (BAN),2017-2021,49,49,20,20,0,0,20,3 (3ct 0st),0.408,
42,DA Minors (BMUDA),2006-2007,20,20,20,16,4,12,4,3 (3ct 0st),1.0,
43,D Mongia (INDIA),2001-2007,53,53,20,20,0,0,20,3 (3ct 0st),0.377,
44,RS Morton (WI),2002-2010,52,52,20,20,0,0,20,3 (3ct 0st),0.384,
45,A Nel (SA),2001-2008,75,75,20,20,0,0,20,2 (2ct 0st),0.266,
46,HM Nicholls (NZ),2015-2021,50,50,20,20,0,0,20,2 (2ct 0st),0.4,
47,Rubel Hossain (BAN),2009-2021,101,101,20,20,0,0,20,2 (2ct 0st),0.198,
48,Salman Butt (PAK),2004-2010,77,77,20,20,0,0,20,2 (2ct 0st),0.259,
49,OA Shah (ENG),2001-2009,68,68,20,20,0,0,20,2 (2ct 0st),0.294,
0,Shoaib Akhtar (Asia/ICC/PAK),1998-2011,160,160,20,20,0,0,20,2 (2ct 0st),0.125,
1,NS Sidhu (INDIA),1987-1998,131,131,20,20,0,0,20,2 (2ct 0st),0.152,
2,LPC Silva (SL),1999-2011,71,71,20,20,0,0,20,3 (3ct 0st),0.281,
3,JE Taylor (WI),2003-2017,86,86,20,20,0,0,20,2 (2ct 0st),0.232,
4,DR Tuffey (NZ),2000-2010,89,89,20,20,0,0,20,3 (3ct 0st),0.224,
5,AR Whittall (ZIM),1996-2000,61,61,20,20,0,0,20,3 (3ct 0st),0.327,
6,Akram Raza (PAK),1989-1995,49,49,19,19,0,0,19,2 (2ct 0st),0.387,
7,AJ Bichel (AUS),1997-2004,66,66,19,19,0,0,19,2 (2ct 0st),0.287,
8,BL Cairns (NZ),1974-1985,76,76,19,19,0,0,19,2 (2ct 0st),0.25,
9,EJ Chatfield (NZ),1979-1989,110,110,19,19,0,0,19,2 (2ct 0st),0.172,
10,SS Cottrell (WI),2015-2021,35,35,19,19,0,0,19,3 (3ct 0st),0.542,
11,XJ Doherty (AUS),2010-2015,55,55,19,19,0,0,19,2 (2ct 0st),0.345,
12,JE Emburey (ENG),1980-1993,61,61,19,19,0,0,19,2 (2ct 0st),0.311,
13,MW Goodwin (ZIM),1998-2000,69,69,19,19,0,0,19,2 (2ct 0st),0.275,
14,Gulbadin Naib (AFG),2011-2022,68,68,19,19,0,0,19,3 (3ct 0st),0.279,
15,SO Hetmyer (WI),2017-2021,44,44,19,19,0,3,16,3 (3ct 0st),0.431,
16,JM How (NZ),2005-2011,37,37,19,19,0,0,19,4 (4ct 0st),0.513,
17,NC Johnson (ZIM),1998-2000,47,47,19,19,0,0,19,2 (2ct 0st),0.404,
18,CC Lewis (ENG),1990-1998,49,49,19,19,0,0,19,2 (2ct 0st),0.387,
19,E Lewis (WI),2016-2021,53,53,19,19,0,0,19,2 (2ct 0st),0.358,
20,AF Milne (NZ),2012-2017,36,36,19,19,0,0,19,3 (3ct 0st),0.527,
21,Mohammad Sami (PAK),2001-2015,85,85,19,19,0,0,19,2 (2ct 0st),0.223,
22,JF Mooney (IRE),2006-2015,61,61,19,19,0,0,19,2 (2ct 0st),0.311,
23,DK Morrison (NZ),1987-1996,96,96,19,19,0,0,19,2 (2ct 0st),0.197,
24,Naeem Islam (BAN),2008-2014,59,59,19,19,0,0,19,2 (2ct 0st),0.322,
25,Nawroz Mangal (AFG),2009-2016,49,49,19,19,0,0,19,2 (2ct 0st),0.387,
26,CJ Nevin (NZ),2000-2003,35,35,19,16,3,14,2,3 (3ct 0st),0.542,
27,Rahmat Shah (AFG),2013-2022,76,76,19,19,0,0,19,2 (2ct 0st),0.25,
28,SMSM Senanayake (SL),2012-2015,46,46,19,19,0,0,19,3 (3ct 0st),0.413,
29,I Sharma (INDIA),2007-2016,74,74,19,19,0,0,19,1 (1ct 0st),0.256,
30,SAR Silva (SL),1984-1985,19,19,19,16,3,16,0,3 (3ct 0st),1.0,
31,MC Snedden (NZ),1980-1990,91,91,19,19,0,0,19,1 (1ct 0st),0.208,
32,AO Suji (KENYA),1996-2008,57,57,19,19,0,0,19,2 (2ct 0st),0.333,
33,A Vala (PNG),2014-2021,35,35,19,19,0,0,19,3 (3ct 0st),0.542,
34,V Yadav (INDIA),1992-1994,19,19,19,12,7,12,0,3 (2ct 1st),1.0,
35,Asif Mujtaba (PAK),1986-1996,66,66,18,18,0,0,18,3 (3ct 0st),0.272,
36,SW Billings (ENG),2015-2021,24,24,18,18,0,4,14,2 (2ct 0st),0.75,
37,JG Bracewell (NZ),1983-1990,51,51,18,18,0,0,18,3 (3ct 0st),0.352,
38,AF Buurman (NED),2007-2011,16,16,18,15,3,15,0,3 (3ct 0st),1.125,
39,AR Cusack (IRE),2007-2015,55,55,18,18,0,0,18,2 (2ct 0st),0.327,
40,M Dillon (WI),1997-2005,101,101,18,18,0,0,18,2 (2ct 0st),0.178,
41,PG Fulton (NZ),2004-2009,47,47,18,18,0,0,18,2 (2ct 0st),0.382,
42,IJ Gould (ENG),1983-1983,18,18,18,15,3,15,0,3 (3ct 0st),1.0,
43,CJ Jordan (ENG),2013-2020,32,32,18,18,0,0,18,2 (2ct 0st),0.562,
44,SB Joshi (INDIA),1996-2001,67,67,18,18,0,0,18,2 (2ct 0st),0.268,
45,GF Lawson (AUS),1980-1989,75,75,18,18,0,0,18,2 (2ct 0st),0.24,
46,MA Leask (SCOT),2014-2021,36,36,18,18,0,0,18,3 (3ct 0st),0.5,
47,RS Madugalle (SL),1979-1988,60,60,18,18,0,0,18,2 (2ct 0st),0.3,
48,JP Maher (AUS),1998-2003,25,25,18,18,0,8,10,3 (3ct 0st),0.72,
49,HJH Marshall (NZ),2003-2007,63,63,18,18,0,0,18,3 (3ct 0st),0.285,
0,NO Miller (WI),2008-2018,46,46,18,18,0,0,18,3 (3ct 0st),0.391,
1,A Nehra (Asia/INDIA),2001-2011,114,114,18,18,0,0,18,2 (2ct 0st),0.157,
2,RR Patel (KENYA),2008-2014,38,38,18,18,0,0,18,2 (2ct 0st),0.473,
3,Raqibul Hasan (BAN),2008-2011,55,55,18,18,0,0,18,2 (2ct 0st),0.327,
4,WP Saha (INDIA),2010-2014,8,8,18,17,1,17,0,4 (4ct 0st),2.25,
5,SA Thomson (NZ),1990-1996,55,55,18,18,0,0,18,2 (2ct 0st),0.327,
6,MA Vermeulen (ZIM),2000-2009,42,42,18,18,0,0,18,3 (3ct 0st),0.428,
7,DP Viljoen (ZIM),1997-2001,53,53,18,18,0,0,18,2 (2ct 0st),0.339,
8,SC Williams (WI),1994-1999,56,56,18,18,0,0,18,3 (3ct 0st),0.321,
9,Ahmed Raza (UAE),2014-2021,33,33,17,17,0,0,17,3 (3ct 0st),0.515,
10,JJ Bumrah (INDIA),2016-2022,70,70,17,17,0,0,17,2 (2ct 0st),0.242,
11,JM Davison (CAN),2003-2011,32,32,17,17,0,0,17,2 (2ct 0st),0.531,
12,Haris Sohail (PAK),2013-2020,40,40,17,17,0,0,17,2 (2ct 0st),0.425,
13,IJ Harvey (AUS),1997-2004,72,72,17,17,0,0,17,2 (2ct 0st),0.236,
14,AC Hudson (SA),1991-1997,86,86,17,17,0,0,17,2 (2ct 0st),0.197,
15,EB McSweeney (NZ),1986-1987,15,15,17,14,3,14,0,3 (3ct 0st),1.133,
16,S Madan Lal (INDIA),1974-1987,63,63,17,17,0,0,17,2 (2ct 0st),0.269,
17,Maninder Singh (INDIA),1983-1993,56,56,17,17,0,0,17,2 (2ct 0st),0.303,
18,AK Markram (SA),2017-2022,35,35,17,17,0,0,17,3 (3ct 0st),0.485,
19,YK Pathan (INDIA),2008-2012,55,55,17,17,0,0,17,3 (3ct 0st),0.309,
20,RW Price (ZIM),2002-2012,101,101,17,17,0,0,17,2 (2ct 0st),0.168,
21,WB Rankin (ENG/IRE),2007-2020,72,72,17,17,0,0,17,2 (2ct 0st),0.236,
22,AT Rayudu (INDIA),2013-2019,53,53,17,17,0,0,17,2 (2ct 0st),0.32,
23,CJ Richards (ENG),1981-1988,22,22,17,16,1,16,0,3 (3ct 0st),0.772,
24,TT Samaraweera (SL),1998-2011,50,50,17,17,0,0,17,2 (2ct 0st),0.34,
25,MS Sinclair (NZ),2000-2007,53,53,17,17,0,2,15,2 (2ct 0st),0.32,
26,Umar Gul (PAK),2003-2016,128,128,17,17,0,0,17,2 (2ct 0st),0.132,
27,BJ Watling (NZ),2010-2016,25,25,17,17,0,11,6,3 (3ct 0st),0.68,
28,LJ Wright (ENG),2007-2014,47,47,17,17,0,0,17,2 (2ct 0st),0.361,
29,Aamer Malik (PAK),1988-1994,24,24,16,13,3,10,3,2 (2ct 0st),0.666,
30,CWJ Athey (ENG),1980-1988,31,31,16,16,0,0,16,3 (3ct 0st),0.516,
31,JJ Atkinson (HKG),2008-2017,9,9,16,10,6,10,0,4 (4ct 0st),1.777,
32,WKM Benjamin (WI),1986-1995,85,85,16,16,0,0,16,1 (1ct 0st),0.188,
33,YS Chahal (INDIA),2016-2022,59,59,16,16,0,0,16,2 (2ct 0st),0.271,
34,N Chopra (INDIA),1998-2000,37,37,16,16,0,0,16,2 (2ct 0st),0.432,
35,KJ Coetzer (SCOT),2009-2021,60,60,16,16,0,0,16,2 (2ct 0st),0.266,
36,PJ Cummins (AUS),2011-2020,66,66,16,16,0,0,16,2 (2ct 0st),0.242,
37,Dawlat Zadran (AFG),2011-2019,80,80,16,16,0,0,16,2 (2ct 0st),0.2,
38,GD Elliott (NZ),2008-2016,76,76,16,16,0,0,16,2 (2ct 0st),0.21,
39,BN French (ENG),1985-1988,13,13,16,13,3,13,0,3 (3ct 0st),1.23,
40,JR Hazlewood (AUS),2010-2021,51,51,16,16,0,0,16,2 (2ct 0st),0.313,
41,BJ Hodge (AUS),2005-2007,24,24,16,16,0,0,16,2 (2ct 0st),0.666,
42,Khaled Mahmud (BAN),1998-2006,76,76,16,16,0,0,16,2 (2ct 0st),0.21,
43,APE Knott (ENG),1971-1977,19,19,16,15,1,15,0,4 (4ct 0st),0.842,
44,T Mishra (KENYA),2006-2013,42,42,16,16,0,0,16,2 (2ct 0st),0.38,
45,Mosaddek Hossain (BAN),2016-2021,38,38,16,16,0,0,16,2 (2ct 0st),0.421,
46,DA Murray (WI),1973-1981,10,10,16,16,0,16,0,3 (3ct 0st),1.6,
47,Naved-ul-Hasan (PAK),2003-2010,71,71,16,16,0,0,16,2 (2ct 0st),0.225,
48,PJ Ongondo (Afr/KENYA),1999-2011,76,76,16,16,0,0,16,2 (2ct 0st),0.21,
49,AL Phehlukwayo (SA),2016-2022,67,67,16,16,0,0,16,2 (2ct 0st),0.238,
0,A Ratra (INDIA),2002-2002,12,12,16,11,5,11,0,3 (2ct 1st),1.333,
1,GJ Rennie (ZIM),1996-2003,39,39,16,16,0,0,16,2 (2ct 0st),0.41,
2,Rohan Mustafa (UAE),2014-2021,39,39,16,16,0,0,16,2 (2ct 0st),0.41,
3,PM Seelaar (NED),2006-2022,49,49,16,16,0,0,16,2 (2ct 0st),0.326,
4,RD Shah (KENYA),1998-2007,55,55,16,16,0,0,16,2 (2ct 0st),0.29,
5,VS Solanki (ENG),2000-2006,49,49,16,16,0,0,16,2 (2ct 0st),0.326,
6,GM Wood (AUS),1978-1989,76,76,16,16,0,0,16,2 (2ct 0st),0.21,
7,Zaheer Abbas (PAK),1974-1985,59,59,16,16,0,0,16,2 (2ct 0st),0.271,
8,Anil Dalpat (PAK),1984-1986,14,14,15,13,2,13,0,3 (3ct 0st),1.071,
9,MA Atherton (ENG),1990-1998,53,53,15,15,0,0,15,2 (2ct 0st),0.283,
10,Basit Ali (PAK),1993-1996,49,49,15,15,0,0,15,2 (2ct 0st),0.306,
11,T Bavuma (SA),2016-2022,14,14,15,15,0,0,15,4 (4ct 0st),1.071,
12,B Bhandari (NEPAL),2019-2021,12,12,15,14,1,14,0,4 (4ct 0st),1.25,
13,SE Bond (NZ),2002-2010,79,79,15,15,0,0,15,2 (2ct 0st),0.189,
14,PS de Villiers (SA),1992-1997,81,81,15,15,0,0,15,2 (2ct 0st),0.185,
15,RL Dias (SL),1979-1987,54,54,15,15,0,0,15,2 (2ct 0st),0.277,
16,ST Finn (ENG),2011-2017,66,66,15,15,0,0,15,2 (2ct 0st),0.227,
